Regel;Name;Katalog;Schwere;blockt am Gate;Task;Eintritt fuer;Phase;Dimension;Steuerregel;abnehmbar in;im Kern-Fokus;Skills
IO-01;FuncPairIOCompleteness;Gate;warning;;kern;;PDR;arch;;;ja;se/top-level
IO-02;FLOW single producer;Gate;error;ja;kern;;PDR;arch;;;ja;
MS-01;Milestone empty scope;Gate;warning;;plan;;SRR;ms;;plan;;
MS-02;Milestone dangling dependency;Gate;error;;plan;;SRR;ms;;;;
MS-03;CR without milestone;Gate;info;;plan;;SRR;ms;;;;
MT-01;Module instability;Gate;warning;;kern;;PDR;alloc;;;ja;
MT-02;Module cohesion (LCOM4);Gate;info;;kern;;PDR;alloc;ja;;;se/top-level
MT-04;Whitebox cohesion (LCOM4);Gate;info;;kern;;PDR;arch;;;;
ND-01;FuncNearDuplicate;nur Steuerung;error;;kern;;PDR;arch;;;ja;
ND-02;SchemaNearDuplicate;nur Steuerung;error;;kern;;CDR;schema;;;ja;
NFR-01;BudgetOvershoot;Gate;warning;;kern;;CDR;arch;;;ja;
R-01;REQ must have verification;Gate;error;ja;kern;;TRR;ver;;;ja;se/author-req se-conops se-fmea se-view/fmea
R-02;FUNC must satisfy REQ;Gate;warning;;kern;;PDR;arch;;;ja;se-fmea
R-04;Module boundary width;Gate;warning;;kern;;PDR;alloc;ja;;ja;se/top-level
R-05;TEST must verify REQ;Gate;warning;;kern;;TRR;ver;;;ja;
R-08;Trace consistency;Gate;error;ja;kern;;PDR;arch;;;ja;
R-10;FLOW completeness;Gate;warning;;kern;;PDR;arch;;;ja;
R-12;No circular dependencies;Gate;warning;;kern;;PDR;arch;;;ja;
R-15;FCHAIN completeness;Gate;warning;;kern;;PDR;uc;;;ja;
R-16;ACTOR must have io;Gate;warning;;kern;;SRR;uc;;;ja;se/author-actor
R-17;SYS must have compose;Gate;warning;;kern;;SRR;uc;;;ja;se/top-level
R-18;Valid trace pattern;Gate;error;ja;kern;;PDR;arch;;;ja;se/author-actor se/import-doc se-fmea se-plan
R-19;Runnable TEST binding;Gate;warning;;realisierung;;TRR;ver;;realisierung;;se-irr se-retro se-test
R-20;FUNC realRef binding;Gate;warning;;realisierung;;TRR;arch;;realisierung;;se/import-code se-irr se-retro
R-21;FUNC↔FUNC handover needs a shared chain and an integration test;Gate;warning;;kern;;TRR;ver;;;ja;
R-22;FUNC must be allocated to MOD;Gate;warning;;kern;;PDR;alloc;;;ja;se/top-level
R-23;MOD must have allocated FUNC;Gate;warning;;kern;;PDR;alloc;;;ja;
R-26;SCHEMA must have realRef;Gate;warning;;realisierung;;CDR;schema;;realisierung;;
R-29;Test file exclusivity;Gate;error;ja;realisierung;;TRR;ver;;;;se/author-req
R-30;FUNC leaf must belong to a function chain;Gate;warning;;kern;;PDR;arch;;;ja;se/top-level
R-31;FUNC must be wired (io input + output);Gate;warning;;kern;;PDR;arch;;;ja;
R-32;SCHEMA must have contract TEST;Gate;warning;;realisierung;;TRR;ver;;realisierung;;
RC-01;FUNC realRef resolves to a declared symbol;nur Steuerung;error;;realisierung;;;;;;;se-review
RC-02;testRefs entries resolve to runnable tests;nur Steuerung;error;;realisierung;;;;;;;se-review
RC-03;SCHEMA realRef resolves to a declared export;nur Steuerung;error;;realisierung;;;;;;;se-review
RC-04;SCHEMA realRef is parsed at its interface;nur Steuerung;warning;;realisierung;;;;;;;
RC-05;cross-module import drift;nur Steuerung;warning;;realisierung;;;;;;;
RC-06;external realRef names a declared dependency;nur Steuerung;warning;;realisierung;;;;;;;
RC-07;CR node agrees with docs/cr;nur Steuerung;warning;;realisierung;;;;;;;
RD-01;Unresolved requirement;Gate;warning;;kern;;SRR;req;;;ja;se/author-req
RD-02;Decomposition consistency;Gate;warning;;kern;;SRR;req;;;ja;
RD-03;No premature decomposition;Gate;info;;kern;;SRR;req;;;;
RD-04;Decomposition breadth;Gate;warning;;kern;;PDR;arch;ja;;ja;se/top-level
RD-05;Decomposition too narrow;Gate;warning;;kern;;PDR;arch;;;ja;
SC-02;Schema referenced by FLOW;Gate;warning;;kern;;CDR;schema;;;ja;
UC-01;UC has requirements;Gate;error;;kern;;SRR;uc;;;ja;se/author-uc
UC-02;UC has actor;Gate;error;;kern;;SRR;uc;;;ja;se/author-actor se/author-uc
UC-03;UC has scenario;Gate;warning;;kern;;SRR;uc;;;ja;se/author-uc
UC-04;UC has goal;Gate;warning;;kern;;SRR;uc;;;ja;
UC-05;UC has postcondition;Gate;info;;kern;;SRR;uc;;;;
UC-06;UC has precondition;Gate;info;;kern;;SRR;uc;;;;
VR-01;TestNoResult;Gate;info;;realisierung;;TRR;ver;;;;
